track_id,name,artist,spotify_preview_url,spotify_id,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TROUVHL128F426C441,Come as You Are,Nirvana,https://p.scdn.co/mp3-preview/a1c11bb1cb231031eb20e5951a8bfb30503224e9?cid=774b29d4f13844c495f206cafdad9c86,0keNu0t0tqsWtExGM3nT1D,RnB,1991,218920,0.508,0.826,4,-5.783,0,0.04,0.000175,0.000459,0.0878,0.543,120.012,4
TRLNZBD128F935E4D8,Creep,Radiohead,https://p.scdn.co/mp3-preview/e7eb60e9466bc3a27299ea8803aadf4fa9cf795c?cid=774b29d4f13844c495f206cafdad9c86,01QoK9DA7VTeTSE3MNzp4I,RnB,2008,238640,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,4
TRMZXEW128F9341FD5,The Scientist,Coldplay,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=774b29d4f13844c495f206cafdad9c86,0GSSsT9szp0rJkBrYkzy6s,Rock,2007,311014,0.566,0.429,5,-7.826,1,0.0242,0.715,1.44e-05,0.12,0.173,146.365,4
TRIODZU128E078F3E2,Under the Bridge,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=774b29d4f13844c495f206cafdad9c86,06zh28PcYIFvNOAz5Wq2Xb,Pop,2003,265506,0.554,0.49,4,-8.046,1,0.0457,0.0168,0.000534,0.136,0.513,84.275,4
TRYEZGE128F92D04C8,Feel Good Inc.,Gorillaz,https://p.scdn.co/mp3-preview/7388c425022ced92b1caa7f73bcf0cb3080aee47?cid=774b29d4f13844c495f206cafdad9c86,09xrHi86kLkEIzDLZiHNnv,RnB,2010,223106,0.809,0.72,6,-7.776,1,0.136,0.0337,0.00141,0.826,0.832,138.556,4
TRUENYK128F4274057,Chop Suey!,System of a Down,https://p.scdn.co/mp3-preview/cd2a1f9fd7619bdae4e2e718b11d5bb054a3d677?cid=774b29d4f13844c495f206cafdad9c86,0EIIqshB4doby2sMQpeqGN,Metal,2008,210480,0.42,0.925,7,-4.217,0,0.12,0.000363,0.002,0.1,0.322,127.422,4
TRWEHTV12903D086FC,Use Somebody,Kings of Leon,https://p.scdn.co/mp3-preview/c1f5819057f7528777163bf7d75bf8609553c5be?cid=774b29d4f13844c495f206cafdad9c86,03BednbxXIA23kUtR5HMQ9,Electronic,2003,230960,0.276,0.755,0,-5.406,1,0.046,0.00583,0.000543,0.183,0.194,137.149,4
TRIQWYH128F1486062,Paranoid Android,Radiohead,https://p.scdn.co/mp3-preview/d68bd7fa4f0bd86ec2ebbd7ac73c2716a00a3486?cid=774b29d4f13844c495f206cafdad9c86,0bomiLGPTUNyk3mV19pbwN,Jazz,2012,384933,0.232,0.8,5,-6.863,1,0.0573,0.0523,0.00606,0.118,0.299,81.849,4
TRUOEWJ128F9345A85,Stairway to Heaven,Led Zeppelin,https://p.scdn.co/mp3-preview/6879ce58805099f68ee59fe687dd5d7aa6e1585c?cid=774b29d4f13844c495f206cafdad9c86,03hLW9osM6UuNqlpwL8XPo,Punk,2013,488019,0.354,0.361,9,-12.722,0,0.0509,0.625,0.0112,0.35,0.212,80.36,4
TRAOMFT128F42A7684,Losing My Religion,R.E.M.,https://p.scdn.co/mp3-preview/7e795b53f58d926a094c2f009f1d0db584dc8a3d?cid=774b29d4f13844c495f206cafdad9c86,04pRvt8HcPmmP6EeZoYMxa,Pop,2014,288160,0.668,0.736,9,-10.753,0,0.0277,0.0115,0.000259,0.337,0.629,126.978,4
TRNNGMK128F423F034,Where Is My Mind?,Pixies,https://p.scdn.co/mp3-preview/d4a375a9c19d4ea8083658b58402926d6990499b?cid=774b29d4f13844c495f206cafdad9c86,0DJU6KGwdkxEPCy3BZ3UZY,Rock,2005,230093,0.514,0.435,4,-13.517,1,0.0353,0.0078,0.000859,0.0802,0.212,82.104,4
TRVRWFY128F4286EF9,Basket Case,Green Day,https://p.scdn.co/mp3-preview/a66864fcfd8923c6084fc2000e3086e4e1e0a657?cid=774b29d4f13844c495f206cafdad9c86,2WtF8X3W7iHPF2KaJGUCuO,Rock,2017,181533,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,4
TRADPIA128E078EE1B,Heart-Shaped Box,Nirvana,https://p.scdn.co/mp3-preview/72b22eeda1014182e399a6486786bb66e6a8c11f?cid=774b29d4f13844c495f206cafdad9c86,0FMu3Z1yvTJKLWgxG6ZLS5,Rock,2007,278520,0.609,0.842,0,-5.861,1,0.0342,0.0044,0.0116,0.353,0.459,115.158,4
TRIMWJA128F9309A68,Smile Like You Mean It,The Killers,https://p.scdn.co/mp3-preview/41f03ab99969aaf0bd8dc43a16aa3c9aec6ccc3c?cid=774b29d4f13844c495f206cafdad9c86,03xdrZszrWGIMqyxByAiH5,Rock,2004,235480,0.369,0.981,3,-2.62,0,0.16,0.000391,0.0104,0.16,0.379,125.002,4
TRRISDV128F42A72DA,Hysteria,Muse,https://p.scdn.co/mp3-preview/ff29ded2c1aa87ed04cb15ea9b1819dc4db95ad7?cid=774b29d4f13844c495f206cafdad9c86,01gGZKbc2EXSZCrk3g9nHJ,Rock,2010,226760,0.411,0.914,9,-6.121,0,0.051,0.000462,0.00103,0.146,0.441,93.123,4
TRSFPEE128F429B0EE,In Bloom,Nirvana,https://p.scdn.co/mp3-preview/125a819ae02f496c47ed8a9d956f9f6b1aad9349?cid=774b29d4f13844c495f206cafdad9c86,2qdRHMosT8YO3zfEJQXHsW,Punk,1991,254760,0.433,0.744,10,-8.97,0,0.0449,9.84e-06,7.73e-05,0.29,0.595,157.18,4
TRPFYYL128F92F7144,Float On,Modest Mouse,https://p.scdn.co/mp3-preview/0d741d740ea0e449057d326439a47e974447e86d?cid=774b29d4f13844c495f206cafdad9c86,1Urf1M52P3R6NYdAOJizoW,Rock,2004,208466,0.646,0.893,6,-4.799,1,0.0301,0.0151,3.59e-06,0.0892,0.559,100.951,4
TRLPNCR128F4262D8E,Can't Stop,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/076f7d75404dfd18964d60da63d1855b192f3e62?cid=774b29d4f13844c495f206cafdad9c86,3ZOEytgrvLwQaqXreDs2Jx,Electronic,2002,269000,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,4
TRFROHP128F9309571,Nothing Else Matters,Metallica,https://p.scdn.co/mp3-preview/d6e626f0c7bdf60ce42fff46bc4550596a5fb487?cid=774b29d4f13844c495f206cafdad9c86,0nLiqZ6A27jJri2VCalIUs,Metal,1991,388266,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,3
TRUGANP12903CB2C46,Naïve,The Kooks,https://p.scdn.co/mp3-preview/798e1e21d3f6f76430feb5291e6bb608c9484fe9?cid=774b29d4f13844c495f206cafdad9c86,0itk18Y362KvHpXVwcF6yG,Rock,2012,203680,0.559,0.791,8,-6.966,0,0.0662,0.0668,0.0,0.23,0.716,103.38,4
TRFNTRW128F422C28C,Trouble,Coldplay,https://p.scdn.co/mp3-preview/d304ea35aada75a163b7cf6eeb4fddb6090b76de?cid=774b29d4f13844c495f206cafdad9c86,09LoXTH3aa72YWMMYkPtKT,Rock,2011,270666,0.558,0.511,11,-7.346,0,0.03,0.176,0.000952,0.151,0.184,139.858,4
TRFWGOJ128E0780C8B,In My Place,Coldplay,https://p.scdn.co/mp3-preview/e152576c5affbc6d08bb5b67ff0f4d18e29914ce?cid=774b29d4f13844c495f206cafdad9c86,0M1MFIuPCxRitJ4lF7q3tx,Rock,2012,228346,0.423,0.566,9,-6.55,1,0.0272,0.0526,3.66e-06,0.196,0.218,144.688,4
TRHMVGF128E078ED9B,Rape Me,Nirvana,https://p.scdn.co/mp3-preview/06f5dbdf848611605f68fc1e60c92d1cf12db93a?cid=774b29d4f13844c495f206cafdad9c86,11Tm0hw3DDF1gqU0kSEwiC,Rock,1993,170000,0.417,0.739,8,-10.543,1,0.0466,0.0186,0.0,0.0638,0.255,111.928,4
TRSCMBY128F9311188,Mardy Bum,Arctic Monkeys,https://p.scdn.co/mp3-preview/4964cbac745e7e8ef3968b684ba291e8c756c579?cid=774b29d4f13844c495f206cafdad9c86,0gNQKJ5uTPeuxF2iVJAUAc,Rock,2006,175426,0.634,0.599,2,-5.447,1,0.0365,0.0288,0.0,0.197,0.312,112.215,4
TRYFDIV128F42BAF81,Fake Plastic Trees,Radiohead,https://p.scdn.co/mp3-preview/9f661dae7578998a5817c65210ff23fbfa1a0c74?cid=774b29d4f13844c495f206cafdad9c86,045sp2JToyTaaKyXkGejPy,Rock,1995,290706,0.454,0.229,2,-12.592,1,0.0297,0.167,0.102,0.202,0.134,73.552,4
TRCSKKO128EF33DD14,Sweet Home Alabama,Lynyrd Skynyrd,https://p.scdn.co/mp3-preview/56c87d16c2f7514de3887a75e1084849b4f33198?cid=774b29d4f13844c495f206cafdad9c86,00I3Ty0pd83FWrPufrF03P,Rock,1998,283973,0.575,0.542,0,-14.544,1,0.0256,0.324,0.000783,0.0977,0.855,97.804,4
TRYJPIH128F4262602,This Love,Maroon 5,https://p.scdn.co/mp3-preview/86ee8e73aa2c439b7f772e939c5c5f542dca32d1?cid=774b29d4f13844c495f206cafdad9c86,0mIllpvSLn6pEgBNTkCmKX,RnB,2007,205786,0.714,0.862,5,-4.603,0,0.0363,0.0609,0.0,0.093,0.764,95.038,4
TRAAHSY128F147BB5C,Speed of Sound,Coldplay,https://p.scdn.co/mp3-preview/739f1ff67c5b9a416d7a1136c2e15b53a67bdce9?cid=774b29d4f13844c495f206cafdad9c86,1CAPtD2FgB23xGewa3nqkg,Rock,2008,287906,0.523,0.898,11,-6.765,0,0.0567,0.00491,0.0345,0.0746,0.355,123.085,4
TRPSVTL128F936017F,Sultans of Swing,Dire Straits,https://p.scdn.co/mp3-preview/a00a90236f87d059c5a9ff481680a29f7a60e8bb?cid=774b29d4f13844c495f206cafdad9c86,00C4IJWpY3k2cmo7dHuSs1,Rock,2013,348812,0.736,0.815,5,-9.302,1,0.0304,0.0763,0.0799,0.27,0.921,148.152,4
TRXNSKZ128F427F1FB,Last Nite,The Strokes,https://p.scdn.co/mp3-preview/dd2111a218b3007e3e23a6be300a87f02aee045a?cid=774b29d4f13844c495f206cafdad9c86,1zfcJIw2XkBoBSOzLDbiM5,Rock,2001,193373,0.624,0.899,0,-5.71,1,0.0295,0.0223,0.000155,0.0975,0.797,104.055,4
