track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TROUVHL128F426C441,Come as You Are,Nirvana,https://p.scdn.co/mp3-preview/a1c11bb1cb231031eb20e5951a8bfb30503224e9?cid=774b29d4f13844c495f206cafdad9c86,0keNu0t0tqsWtExGM3nT1D,rock|alternative|alternative_rock|90s|grunge,RnB,1991,218920,508,826,4,-5.783,0,0.04,175,459,878,543,120.012,4
TRLNZBD128F935E4D8,Creep,Radiohead,https://p.scdn.co/mp3-preview/e7eb60e9466bc3a27299ea8803aadf4fa9cf795c?cid=774b29d4f13844c495f206cafdad9c86,01QoK9DA7VTeTSE3MNzp4I,rock|alternative|indie|alternative_rock|indie_rock|british|90s|britpop,RnB,2008,238640,515,0.43,7,-9.935,1,369,102,141,129,104,91.841,4
TRMZXEW128F9341FD5,The Scientist,Coldplay,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=774b29d4f13844c495f206cafdad9c86,0GSSsT9szp0rJkBrYkzy6s,rock|alternative|indie|pop|alternative_rock|british|piano|love|beautiful|00s|britpop|mellow,Rock,2007,311014,566,429,5,-7.826,1,242,715,1.44e-05,0.12,173,146.365,4
TRIODZU128E078F3E2,Under the Bridge,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=774b29d4f13844c495f206cafdad9c86,06zh28PcYIFvNOAz5Wq2Xb,rock|alternative|alternative_rock|90s|funk,Pop,2003,265506,554,0.49,4,-8.046,1,457,168,534,136,513,84.275,4
TRYEZGE128F92D04C8,Feel Good Inc.,Gorillaz,https://p.scdn.co/mp3-preview/7388c425022ced92b1caa7f73bcf0cb3080aee47?cid=774b29d4f13844c495f206cafdad9c86,09xrHi86kLkEIzDLZiHNnv,rock|electronic|alternative|indie|pop|alternative_rock|dance|british|hip_hop|trip_hop,RnB,2010,223106,809,0.72,6,-7.776,1,136,337,141,826,832,138.556,4
TRUENYK128F4274057,Chop Suey!,System of a Down,https://p.scdn.co/mp3-preview/cd2a1f9fd7619bdae4e2e718b11d5bb054a3d677?cid=774b29d4f13844c495f206cafdad9c86,0EIIqshB4doby2sMQpeqGN,rock|alternative|metal|alternative_rock|hard_rock|nu_metal,Metal,2008,210480,0.42,925,7,-4.217,0,0.12,363,2,0.1,322,127.422,4
TRWEHTV12903D086FC,Use Somebody,Kings of Leon,https://p.scdn.co/mp3-preview/c1f5819057f7528777163bf7d75bf8609553c5be?cid=774b29d4f13844c495f206cafdad9c86,03BednbxXIA23kUtR5HMQ9,rock|alternative|indie|alternative_rock|indie_rock,Electronic,2003,230960,276,755,0,-5.406,1,46,583,543,183,194,137.149,4
TRIQWYH128F1486062,Paranoid Android,Radiohead,https://p.scdn.co/mp3-preview/d68bd7fa4f0bd86ec2ebbd7ac73c2716a00a3486?cid=774b29d4f13844c495f206cafdad9c86,0bomiLGPTUNyk3mV19pbwN,rock|electronic|alternative|indie|alternative_rock|experimental|indie_rock|progressive_rock|british|90s|britpop,Jazz,2012,384933,232,0.8,5,-6.863,1,573,523,606,118,299,81.849,4
TRUOEWJ128F9345A85,Stairway to Heaven,Led Zeppelin,https://p.scdn.co/mp3-preview/6879ce58805099f68ee59fe687dd5d7aa6e1585c?cid=774b29d4f13844c495f206cafdad9c86,03hLW9osM6UuNqlpwL8XPo,rock|classic_rock|hard_rock|progressive_rock|70s,Punk,2013,488019,354,361,9,-12.722,0,509,625,112,0.35,212,80.36,4
TRAOMFT128F42A7684,Losing My Religion,R.E.M.,https://p.scdn.co/mp3-preview/7e795b53f58d926a094c2f009f1d0db584dc8a3d?cid=774b29d4f13844c495f206cafdad9c86,04pRvt8HcPmmP6EeZoYMxa,rock|alternative|indie|pop|alternative_rock|classic_rock|90s,Pop,2014,288160,668,736,9,-10.753,0,277,115,259,337,629,126.978,4
TRNNGMK128F423F034,Where Is My Mind?,Pixies,https://p.scdn.co/mp3-preview/d4a375a9c19d4ea8083658b58402926d6990499b?cid=774b29d4f13844c495f206cafdad9c86,0DJU6KGwdkxEPCy3BZ3UZY,rock|alternative|indie|alternative_rock|indie_rock|80s|soundtrack,Rock,2005,230093,514,435,4,-13.517,1,353,78,859,802,212,82.104,4
TRVRWFY128F4286EF9,Basket Case,Green Day,https://p.scdn.co/mp3-preview/a66864fcfd8923c6084fc2000e3086e4e1e0a657?cid=774b29d4f13844c495f206cafdad9c86,2WtF8X3W7iHPF2KaJGUCuO,rock|alternative|alternative_rock|punk|punk_rock|90s,Rock,2017,181533,442,943,3,-3.205,1,602,293,8.71e-06,91,781,85.064,4
TRADPIA128E078EE1B,Heart-Shaped Box,Nirvana,https://p.scdn.co/mp3-preview/72b22eeda1014182e399a6486786bb66e6a8c11f?cid=774b29d4f13844c495f206cafdad9c86,0FMu3Z1yvTJKLWgxG6ZLS5,rock|alternative|alternative_rock|90s|grunge,Rock,2007,278520,609,842,0,-5.861,1,342,44,116,353,459,115.158,4
TRIMWJA128F9309A68,Smile Like You Mean It,The Killers,https://p.scdn.co/mp3-preview/41f03ab99969aaf0bd8dc43a16aa3c9aec6ccc3c?cid=774b29d4f13844c495f206cafdad9c86,03xdrZszrWGIMqyxByAiH5,rock|alternative|indie|pop|alternative_rock|indie_rock,Rock,2004,235480,369,981,3,-2.62,0,0.16,391,104,0.16,379,125.002,4
TRRISDV128F42A72DA,Hysteria,Muse,https://p.scdn.co/mp3-preview/ff29ded2c1aa87ed04cb15ea9b1819dc4db95ad7?cid=774b29d4f13844c495f206cafdad9c86,01gGZKbc2EXSZCrk3g9nHJ,rock|alternative|indie|alternative_rock|indie_rock|progressive_rock|british,Rock,2010,226760,411,914,9,-6.121,0,51,462,103,146,441,93.123,4
TRSFPEE128F429B0EE,In Bloom,Nirvana,https://p.scdn.co/mp3-preview/125a819ae02f496c47ed8a9d956f9f6b1aad9349?cid=774b29d4f13844c495f206cafdad9c86,2qdRHMosT8YO3zfEJQXHsW,rock|alternative|alternative_rock|90s|grunge,Punk,1991,254760,433,744,10,-8.97,0,449,9.84e-06,7.73e-05,0.29,595,157.18,4
TRPFYYL128F92F7144,Float On,Modest Mouse,https://p.scdn.co/mp3-preview/0d741d740ea0e449057d326439a47e974447e86d?cid=774b29d4f13844c495f206cafdad9c86,1Urf1M52P3R6NYdAOJizoW,rock|alternative|indie|alternative_rock|indie_rock|indie_pop|00s,Rock,2004,208466,646,893,6,-4.799,1,301,151,3.59e-06,892,559,100.951,4
TRLPNCR128F4262D8E,Can't Stop,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/076f7d75404dfd18964d60da63d1855b192f3e62?cid=774b29d4f13844c495f206cafdad9c86,3ZOEytgrvLwQaqXreDs2Jx,rock|alternative|alternative_rock|funk,Electronic,2002,269000,618,938,9,-3.442,1,456,179,0.0,167,875,91.455,4
TRFROHP128F9309571,Nothing Else Matters,Metallica,https://p.scdn.co/mp3-preview/d6e626f0c7bdf60ce42fff46bc4550596a5fb487?cid=774b29d4f13844c495f206cafdad9c86,0nLiqZ6A27jJri2VCalIUs,rock|metal|hard_rock|heavy_metal|thrash_metal|90s,Metal,1991,388266,553,362,4,-11.218,0,263,458,6.01e-06,75,158,142.352,3
TRUGANP12903CB2C46,Naïve,The Kooks,https://p.scdn.co/mp3-preview/798e1e21d3f6f76430feb5291e6bb608c9484fe9?cid=774b29d4f13844c495f206cafdad9c86,0itk18Y362KvHpXVwcF6yG,rock|alternative|indie|indie_rock|british|britpop,Rock,2012,203680,559,791,8,-6.966,0,662,668,0.0,0.23,716,103.38,4
TRFNTRW128F422C28C,Trouble,Coldplay,https://p.scdn.co/mp3-preview/d304ea35aada75a163b7cf6eeb4fddb6090b76de?cid=774b29d4f13844c495f206cafdad9c86,09LoXTH3aa72YWMMYkPtKT,rock|alternative|indie|pop|alternative_rock|indie_rock|british|chillout|piano|beautiful|britpop|mellow,Rock,2011,270666,558,511,11,-7.346,0,0.03,176,952,151,184,139.858,4
TRFWGOJ128E0780C8B,In My Place,Coldplay,https://p.scdn.co/mp3-preview/e152576c5affbc6d08bb5b67ff0f4d18e29914ce?cid=774b29d4f13844c495f206cafdad9c86,0M1MFIuPCxRitJ4lF7q3tx,rock|alternative|indie|pop|alternative_rock|indie_rock|british|chillout|00s|britpop|mellow,Rock,2012,228346,423,566,9,-6.55,1,272,526,3.66e-06,196,218,144.688,4
TRHMVGF128E078ED9B,Rape Me,Nirvana,https://p.scdn.co/mp3-preview/06f5dbdf848611605f68fc1e60c92d1cf12db93a?cid=774b29d4f13844c495f206cafdad9c86,11Tm0hw3DDF1gqU0kSEwiC,rock|alternative|alternative_rock|90s|grunge,Rock,1993,170000,417,739,8,-10.543,1,466,186,0.0,638,255,111.928,4
TRSCMBY128F9311188,Mardy Bum,Arctic Monkeys,https://p.scdn.co/mp3-preview/4964cbac745e7e8ef3968b684ba291e8c756c579?cid=774b29d4f13844c495f206cafdad9c86,0gNQKJ5uTPeuxF2iVJAUAc,rock|alternative|indie|alternative_rock|indie_rock|british|00s|britpop,Rock,2006,175426,634,599,2,-5.447,1,365,288,0.0,197,312,112.215,4
TRYFDIV128F42BAF81,Fake Plastic Trees,Radiohead,https://p.scdn.co/mp3-preview/9f661dae7578998a5817c65210ff23fbfa1a0c74?cid=774b29d4f13844c495f206cafdad9c86,045sp2JToyTaaKyXkGejPy,rock|alternative|indie|alternative_rock|indie_rock|british|90s|love|beautiful|britpop|mellow,Rock,1995,290706,454,229,2,-12.592,1,297,167,102,202,134,73.552,4
TRCSKKO128EF33DD14,Sweet Home Alabama,Lynyrd Skynyrd,https://p.scdn.co/mp3-preview/56c87d16c2f7514de3887a75e1084849b4f33198?cid=774b29d4f13844c495f206cafdad9c86,00I3Ty0pd83FWrPufrF03P,rock|classic_rock|70s|blues_rock,Rock,1998,283973,575,542,0,-14.544,1,256,324,783,977,855,97.804,4
TRYJPIH128F4262602,This Love,Maroon 5,https://p.scdn.co/mp3-preview/86ee8e73aa2c439b7f772e939c5c5f542dca32d1?cid=774b29d4f13844c495f206cafdad9c86,0mIllpvSLn6pEgBNTkCmKX,rock|alternative|pop|alternative_rock|love|00s|pop_rock,RnB,2007,205786,714,862,5,-4.603,0,363,609,0.0,93,764,95.038,4
